openalex_author_id,last_institution_id,last_institution_name,last_institution_country,last_institution_city,last_institution_region,last_institution_lat,last_institution_lon,last_institution_type
https://openalex.org/A5000584262,https://openalex.org/I72951846,Washington State University,US,Pullman,Washington,46.73127,-117.17962,education
https://openalex.org/A5000591678,https://openalex.org/I7882870,University of Glasgow,GB,Glasgow,Scotland,55.86515,-4.25763,education
https://openalex.org/A5000601234,https://openalex.org/I4210092546,Ministerio de Ganadería Agricultura y Pesca,UY,Montevideo,,-34.90558624267578,-56.18438720703125,government
https://openalex.org/A5000601370,https://openalex.org/I2800736356,Mount Desert Island Biological Laboratory,US,Bar Harbor,Maine,44.38758,-68.2039,nonprofit
https://openalex.org/A5000608491,https://openalex.org/I26538001,San Diego State University,US,San Diego,,32.7157096862793,-117.16471862792967,education
https://openalex.org/A5000614186,https://openalex.org/I2800026062,Bedford Institute of Oceanography,CA,Dartmouth,Nova Scotia,44.68390274047852,-63.61175155639648,facility
https://openalex.org/A5000614436,https://openalex.org/I134820265,Consejo Superior de Investigaciones Científicas,ES,Madrid,Madrid,40.4165,-3.70256,government
https://openalex.org/A5000621100,https://openalex.org/I26538001,San Diego State University,US,San Diego,,32.7157096862793,-117.16471862792967,education
https://openalex.org/A5000621736,https://openalex.org/I71503853,University of Algarve,PT,Faro,Faro,37.01869,-7.92716,education
https://openalex.org/A5000627504,https://openalex.org/I102064193,University of Siena,IT,Siena,,43.31821823120117,11.330639839172363,education
https://openalex.org/A5000636690,https://openalex.org/I24603500,University of Massachusetts Amherst,US,Amherst Center,Massachusetts,42.37537,-72.51925,education
https://openalex.org/A5000639455,https://openalex.org/I1331384533,University of Hawaii System,US,Honolulu,,21.30694007873535,-157.85833740234375,education
https://openalex.org/A5000639480,https://openalex.org/I201448701,University of Washington,US,Seattle,Washington,47.60621,-122.33207,education
https://openalex.org/A5000640348,https://openalex.org/I4210149261,Pacific University,US,Forest Grove,,45.51984024047852,-123.11065673828124,education
https://openalex.org/A5000662417,https://openalex.org/I1332124652,"Centre for Environment, Fisheries and Aquaculture Science",GB,Lowestoft,,52.4752311706543,1.751670002937317,facility
https://openalex.org/A5000665916,https://openalex.org/I4210157717,Institute of Paleobiology,PL,Warsaw,,52.228477478027344,20.99346160888672,facility
https://openalex.org/A5000668921,,,,,,,,
https://openalex.org/A5000679111,https://openalex.org/I18014758,Simon Fraser University,CA,Burnaby,British Columbia,49.26636,-122.95263,education
https://openalex.org/A5000682231,https://openalex.org/I141596103,University of Lisbon,PT,Lisbon,Lisbon,38.72509,-9.1498,education
https://openalex.org/A5000684788,https://openalex.org/I71267560,University of Naples Federico II,IT,Naples,Campania,40.85216,14.26811,education
https://openalex.org/A5000686165,https://openalex.org/I133731052,University of Helsinki,FI,Helsinki,Uusimaa,60.16952,24.93545,education
https://openalex.org/A5000688198,https://openalex.org/I52179390,University of Waikato,NZ,Hamilton,,-37.783329010009766,175.2833251953125,education
https://openalex.org/A5000690078,https://openalex.org/I165733156,University of Georgia,US,Athens,,33.9609489440918,-83.37793731689453,education
https://openalex.org/A5000690337,I36258959,University of California San Diego,US,San Diego,California,32.71571,-117.16472,education
https://openalex.org/A5000694583,https://openalex.org/I195893171,Zuse Institute Berlin,DE,Berlin,,52.52436828613281,13.410530090332031,facility
https://openalex.org/A5000695409,https://openalex.org/I4210164369,National Institute of Oceanography and Applied Geophysics,IT,Trieste,,45.64952850341797,13.776780128479004,facility
https://openalex.org/A5000695782,https://openalex.org/I182451676,Université du Québec à Rimouski,CA,Rimouski,Quebec,48.44879,-68.52396,education
https://openalex.org/A5000700194,https://openalex.org/I2801559191,New South Wales Department of Primary Industries,AU,Orange,New South Wales,-33.28397,149.10018,government
https://openalex.org/A5000703393,https://openalex.org/I4210086941,Ministry of Marine Affairs and Fisheries,ID,Jakarta,,-6.214620113372803,106.84513092041016,government
https://openalex.org/A5000705225,https://openalex.org/I11874761,University of North Florida,US,Jacksonville,,30.33218002319336,-81.65564727783203,education
https://openalex.org/A5000708106,https://openalex.org/I4210097673,International Union for Conservation of Nature (United States),US,Washington,District of Columbia,38.89511,-77.03637,nonprofit
https://openalex.org/A5000715184,,,,,,,,
https://openalex.org/A5000718474,https://openalex.org/I183935753,King's College London,GB,London,England,51.50853,-0.12574,education
https://openalex.org/A5000719697,https://openalex.org/I157725225,University of Illinois Urbana-Champaign,US,Urbana,Illinois,40.11059,-88.20727,education
https://openalex.org/A5000724268,I196375840,Universidad Autónoma de Sinaloa,MX,Culiacán,Sinaloa,24.80209,-107.39421,education
https://openalex.org/A5000726431,https://openalex.org/I233745408,Pontificia Universidad Javeriana,CO,Bogotá,,4.609710216522217,-74.08174896240234,education
https://openalex.org/A5000727084,,Bipar,FR,Bipar,Região de Cacheu,12.1169228,-16.2235752,
https://openalex.org/A5000731564,https://openalex.org/I59361560,Instituto Politécnico Nacional,MX,Mexico City,Mexico City,19.42847,-99.12766,education
https://openalex.org/A5000738261,,,,,,,,
https://openalex.org/A5000774453,https://openalex.org/I185103710,"University of California, Santa Cruz",US,Santa Cruz,,36.97412109375,-122.03079986572266,education
https://openalex.org/A5000774763,https://openalex.org/I71267560,University of Naples Federico II,IT,Naples,Campania,40.85216,14.26811,education
https://openalex.org/A5000775123,https://openalex.org/I192513696,National University of San Marcos,PE,Lima,,-12.043180465698242,-77.02823638916016,education
https://openalex.org/A5000777224,https://openalex.org/I877176835,University of Guilan,IR,Rasht,,37.19422149658203,49.63624954223633,education
https://openalex.org/A5000777461,https://openalex.org/I73613424,National Institute of Advanced Industrial Science and Technology,JP,Tsukuba,Ibaraki,36.06024169921875,140.1331024169922,government
https://openalex.org/A5000779778,https://openalex.org/I4210097969,Universidad Autónoma de Baja California Sur,MX,La Paz,,24.10129737854004,-110.31563568115234,education
https://openalex.org/A5000780162,https://openalex.org/I83816512,University of Genoa,IT,Genoa,Liguria,44.40478,8.94439,education
https://openalex.org/A5000794908,https://openalex.org/I16038530,Aberystwyth University,GB,Aberystwyth,,52.41548156738281,-4.082920074462891,education
https://openalex.org/A5000795599,https://openalex.org/I4210088381,Institute for Coastal Marine Environment,IT,Naples,,40.84333801269531,14.260483741760254,facility
https://openalex.org/A5000796944,,,,,,,,
https://openalex.org/A5000798451,,,,,,,,
https://openalex.org/A5000802275,https://openalex.org/I33213144,University of Florida,US,Gainesville,Florida,29.65163,-82.32483,education
https://openalex.org/A5000810426,https://openalex.org/I67388046,Gorgan University of Agricultural Sciences and Natural Resources,IR,Gorgan,,36.84222030639648,54.43944549560547,education
https://openalex.org/A5000811662,https://openalex.org/I66809481,Southern Cross University,AU,Lismore,,-28.813539505004883,153.2772979736328,education
https://openalex.org/A5000813901,https://openalex.org/I71838634,San Francisco State University,US,San Francisco,California,37.77493,-122.41942,education
https://openalex.org/A5000818402,https://openalex.org/I59606676,Universidade Federal do Pará,BR,Belém,,-1.4558299779891968,-48.50444030761719,education
https://openalex.org/A5000821062,https://openalex.org/I153512688,National Taiwan Ocean University,TW,Keelung,,25.15010643005371,121.77770233154295,education
https://openalex.org/A5000821159,https://openalex.org/I123044942,Universitat Autònoma de Barcelona,ES,Cerdanyola del Vallès,,41.4910888671875,2.1407899856567383,education
https://openalex.org/A5000831279,https://openalex.org/I2799506148,Government of Western Australia,AU,Perth,,-31.95223999023437,115.86139678955078,government
https://openalex.org/A5000838740,,,,,,,,
https://openalex.org/A5000845799,https://openalex.org/I43545212,Ehime University,JP,Matsuyama,Ehime,33.849998474121094,132.7711181640625,education
https://openalex.org/A5000848551,https://openalex.org/I82767444,Universidad de Málaga,ES,Málaga,,36.72016143798828,-4.420340061187744,education
https://openalex.org/A5000850623,https://openalex.org/I2799393461,Parks Victoria,AU,Melbourne,Victoria,-37.815914154052734,144.95770263671875,government
https://openalex.org/A5000851749,https://openalex.org/I197323543,Johannes Gutenberg University Mainz,DE,Mainz,Rheinland-Pfalz,49.98419,8.2791,education
https://openalex.org/A5000852921,https://openalex.org/I45935490,National Institute of Water and Atmospheric Research,NZ,Auckland,Auckland,-36.84853,174.76349,facility
https://openalex.org/A5000853748,https://openalex.org/I17974374,Universidade de São Paulo,BR,São Paulo,São Paulo,-23.5475,-46.63611,education
https://openalex.org/A5000862985,,,,,,,,
https://openalex.org/A5000864435,,,,,,,,
https://openalex.org/A5000864455,https://openalex.org/I139264467,Seoul National University,KR,Seoul,Seoul,37.566,126.9784,education
https://openalex.org/A5000865519,https://openalex.org/I157638225,"California State University, Northridge",US,Northridge,,34.22834014892578,-118.53675079345705,education
https://openalex.org/A5000866803,https://openalex.org/I1315745298,Louisiana Department of Wildlife and Fisheries,US,Baton Rouge,Louisiana,30.399364471435547,-91.1291046142578,government
