sharkipedia_id,sharkipedia_source,sharkipedia_doi,match_method,our_doi,our_title,our_year,our_authors,our_literature_id
branstetter1987c,"BRANSTETTER, S. & STILES, R. (1987) Age and growth estimates of the bull shark, Carcharhinus leucas, from the northern Gulf of Mexico. Environmental Biology of Fishes, 20 (3): 169",,title+year,10.1007/bf00004952,"Age and growth estimates of the bull shark, Carcharhinus leucas, from the northern Gulf of Mexico.",1987,"Branstetter, S. & Stiles, R. (1987)",5544.0
brown1988,"BROWN, C.A. & GRUBER, S.H. (1988) Age Assessment of the Lemon Shark, Negaprion brevirostris, Using Tetracycline Validated Vertebral Centra. Copeia, 1988 (3): 747",,title+year,,"Age Assessment of the Lemon Shark, Negaprion brevirostris, Using Tetracycline Validated Vertebral Centra.",1988,"Brown, C.A. & Gruber, S.H. (1988)",5248.0
bullis1966,"BULLIS, H.R. & CARPENTER, J.S. (1966) Neoharriotta carri: A new species of Rhinochimaeridae from the southern Caribbean Sea. Copeia, 1966 (3): 443",,title+year,,Neoharriotta carri: A new species of Rhinochimaeridae from the southern Caribbean Sea.,1966,"Bullis, H.R. & Carpenter, J.S. (1966)",3658.0
bustamante2012a,"BUSTAMANTE, C. & FLORES, H. & CONCHA-PEREZ, Y. & VARGAS-CARO, C. & LAMILLA, J. & BENNETT, M.B. (2012) First record of Hydrolagus melanophasma James, Ebert, Long & Didier, 2009 (Chondrichthyes, Chimaeriformes, Holocephali) from the southeastern Pacific Ocean. Latin American Journal of Aquatic Research, 40 (1): 236",,title+year,,"First record of Hydrolagus melanophasma James, Ebert, Long & Didier, 2009 (Chondrichthyes, Chimaeriformes, Holocephali) from the southeastern Pacific Ocean.",2012,"Bustamante, C. & Flores, H. & Concha-Perez, Y. & Vargas-Caro, C. & Lamilla, J. & Bennett, M.B. (2012)",15324.0
caldas2009,"CALDAS, A.J.P. & DIDIER, D.A. & SANTOS-MARTÍNEZ, A. & ACERO, A.P. (2009) New record of Chimaera cubana Howell-Rivero (Chondrichthyes: Holocephali: Chimaeridae) from the western Caribbean Sea. Pan-American Journal of Aquatic Sciences, 4 (4): 583",,title+year,,New record of Chimaera cubana Howell-Rivero (Chondrichthyes: Holocephali: Chimaeridae) from the western Caribbean Sea.,2009,"Caldas, A.J.P. & Didier, D.A. & Santos-Martínez, A. & Acero, A.P. (2009)",12603.0
calis2005,"CALIS, E. & JACKSON, E.H. & NOLAN, C.P. & JEAL, F. (2005) Preliminary Age and Growth Estimates of the Rabbitfish, Chimaera monstrosa, with Implications for Future Resource Management. Journal of Northwest Atlantic Fishery Science, 35: 15",,title+year,10.2960/j.v36.m501,"Preliminary Age and Growth Estimates of the Rabbitfish, Chimaera monstrosa, with Implications for Future Resource Management.",2005,"Calis, E. & Jackson, E.H. & Nolan, C.P. & Jeal, F. (2005)",7496.0
capape1998,"CAPAPÉ, C. & DIOP, M. & N'DAO, M. (1998) Record of four pregnant females of the scalloped hammerhead, Sphyrna lewini (Sphyrnidae) in Senegalese waters. Cybium, 22 (1): 89",,title+year,,"Record of four pregnant females of the scalloped hammerhead, Sphyrna lewini (Sphyrnidae) in Senegalese waters.",1998,"Capapé, C. & Diop, M. & N'dao, M. (1998)",20488.0
capape1999,"CAPAPÉ, C. & SECK, A.A. & QUIGNARD, J.-P. (1999) Aspects of the reproductive biology of the angular rough shark, Oxynotus centrina (Oxynotidae). Cybium, 23 (3): 259",,title+year,,"Aspects of the reproductive biology of the angular rough shark, Oxynotus centrina (Oxynotidae).",1999,"Capapé, C. & Seck, A.A. & Quignard, J.-P. (1999)",22762.0
capape2005a,"CAPAPÉ, C. & DIATTA, Y. & DIOP, M. & REYNAUD, C. & GUELORGET, O. (2005) New data on the reproductive biology of the Atlantic weasel shark, Paragaleus pectoralis (Chondrichthyes : Hemigaleidae) from the coast of Senegal (eastern tropical Atlantic). Cybium, 29 (4): 363",,title+year,,"New data on the reproductive biology of the Atlantic weasel shark, Paragaleus pectoralis (Chondrichthyes: Hemigaleidae) from the coast of Senegal (eastern tropical Atlantic).",2005,"Capapé, C. & Diatta, Y. & Diop, M. & Reynaud, C. & Guelorget, O. (2005)",23320.0
capape2008c,"CAPAPÉ, C. & REYNAUD, C. & VERGNE, Y. & QUIGNARD, J.-P. (2008) Biological observations on the smallspotted catshark Scyliorhinus canicula (Chondrichthyes: Scyliorhinidae) off the Languedocian coast (southern France, northern Mediterranean). Pan-American Journal of Aquatic Sciences, 3 (3): 282",,title+year,,"Biological observations on the smallspotted catshark Scyliorhinus canicula (Chondrichthyes: Scyliorhinidae) off the Languedocian coast (southern France, northern Mediterranean).",2008,"Capapé, C. & Reynaud, C. & Vergne, Y. & Quignard, J.-P. (2008)",4781.0
carlson2015,"CARLSON, J.K. & SIMPFENDORFER, C.A. (2015) Recovery potential of smalltooth sawfish, Pristis pectinata, in the United States determined using population viability models. Aquatic Conservation: Marine and Freshwater Ecosystems, 25 (2): 187",,title+year,10.1002/aqc.2434,"Recovery potential of smalltooth sawfish, Pristis pectinata, in the United States determined using population viability models.",2015,"Carlson, J.K. & Simpfendorfer, C.A. (2015)",20250.0
carpenter1966,"CARPENTER, J.S. (1966) Capture of immature Oxynotus caribbaeus Cervigón from the type locality. Copeia, 1966 (2): 356",,title+year,,Capture of immature Oxynotus caribbaeus Cervigón from the type locality.,1966,"Carpenter, J.S. (1966)",2811.0
carrerafernandez2010,"CARRERA-FERNÁNDEZ, M. & GALVÁN-MAGAÑA, F. & CEBALLOS-VÁZQUEZ, B.P. (2010) Reproductive biology of the blue shark Prionace glauca (Chondrichthyes: Carcharhinidae) off Baja California Sur, México. Aqua, International Journal of Ichthyology, 16 (3): 101",,title+year,,"Reproductive biology of the blue shark Prionace glauca (Chondrichthyes: Carcharhinidae) off Baja California Sur, México.",2010,"Carrera-Fernández, M. & Galván-Magaña, F. & Ceballos-Vázquez, B.P. (2010)",13054.0
castro1989,"CASTRO, J.I. (1989) The biology of the golden hammerhead, Sphyrna tudes, off Trinidad. Environmental Biology of Fishes, 24 (1): 3",,title+year,10.1007/bf00001605,"The biology of the golden hammerhead, Sphyrna tudes, off Trinidad.",1989,"Castro, J.I. (1989)",4630.0
castro2016a,"CASTRO, J.I. & SATO, K. & BODINE, A.B. (2016) A novel mode of embryonic nutrition in the tiger shark, Galeocerdo cuvier. Marine Biology Research, 12 (2): 200",,title+year,10.1080/17451000.2015.1099677,"A novel mode of embryonic nutrition in the tiger shark, Galeocerdo cuvier.",2016,"Castro, J.I. & Sato, K. & Bodine, A.B. (2016)",24063.0
castroaguirre2007a,"CASTRO-AGUIRRE, J.L. & HERNÁNDEZ, H.S. & ESPINO-BARR, E. & JIMÉNEZ QUIROZ, M.C. (2007) Primer registro de Harriota raleighiana (Chondrichthyes: Holocephali: Rhinochimaeridae) en la costa del Pacífi co central de México. Revista Mexicana de Biodiversidad, 78: 489",,title+year,,Primer registro de Harriota raleighiana (Chondrichthyes: Holocephali: Rhinochimaeridae) en la costa del Pacífi co central de México.,2007,"Castro-Aguirre, J.L. & Hernández, H.S. & Espino-Barr, E. & Jiménez Quiroz, M.C. (2007)",12257.0
cervantesgutierrez2018,"CERVANTES-GUTIÉRREZ, F. & TOVAR-ÁVILA, J. & GALVÁN-MAGAÑA, F. (2018) Age and growth of the banded guitarfish Zapteryx exasperata (Chondrichthyes: Trygonorrhinidae). Marine and Freshwater Research, 69 (1): 66-73",,title+year,10.1071/mf16403,Age and growth of the banded guitarfish Zapteryx exasperata (Chondrichthyes: Trygonorrhinidae).,2018,"Cervantes-Gutiérrez, F. & Tovar-Ávila, J. & Galván-Magaña, F. (2018)",25911.0
cigalafulgosi1983a,"CIGALA-FULGOSI, F. (1983) Confirmation of the presence of Carcharhinus brachyurus (Günther, 1870) (Pisces, Selachii, Carcharhinidae) in the Mediterranean. Doriana, Supplemento Annali del Museo Civico di Storia Naturale G. Doria, 5 (249): 5 pp.",,title+year,,"Confirmation of the presence of Carcharhinus brachyurus (Günther, 1870) (Pisces, Selachii, Carcharhinidae) in the Mediterranean.",1983,"Cigala-Fulgosi, F. (1983)",465.0
