sharkipedia_id,sharkipedia_source,sharkipedia_doi,extracted_title,extracted_year
silvasantos2012,"Silva-Santos, J. R. (2012) Biología reproductiva del tiburón mamón pardo Mustelus henlei (Gill, 1863) en la costa occidental de Baja California Sur, México. Master thesis. Centro Interdisciplinario de Ciencias Marinas. Mexico. 95 p.",,"Biología reproductiva del tiburón mamón pardo Mustelus henlei (Gill, 1863) en la costa occidental de Baja California Sur, México",2012
sotolopez2014b,"Soto-López, K. (2014b) Biología reproductiva de raya Raja velezi (Chirichigno, 1972) en el suroeste de la costa occidental de Baja California Sur. Master thesis. Universidad Nacional Autónoma de México. Mexico. 115 pp.",,"Biología reproductiva de raya Raja velezi (Chirichigno, 1972) en el suroeste de la costa occidental de Baja California Sur",2014
torreshuerta2008,"Torres-Huerta, A. M., Villavicencio-Garayzar, C. & Corro-Espinosa, D. (2008) Reproductive biology of the scalloped hammerhead shark Sphyrna lewini Griffith & Smith (Sphyrnidae) in the Gulf of California. Hidrobiologica 18: 227–237.",,Reproductive biology of the scalloped hammerhead shark Sphyrna lewini Griffith & Smith (Sphyrnidae) in the Gulf of California,2008
tovaravila1995,"Tovar-Ávila, J. (1995) Biología y pesquería del tiburón puntas negras Carcharhinus limbatus (Valenciennes 1939) de las aguas de Veracruz y Tamaulipas, México. Bachelor thesis. Universidad Nacional Autónoma de México. Mexico. 148 pp.",,"Biología y pesquería del tiburón puntas negras Carcharhinus limbatus (Valenciennes 1939) de las aguas de Veracruz y Tamaulipas, México",1995
tovaravila2014,"TOVAR-AVILA, J. & GALLEGOS-CAMACHO, R. (2014) Oldest estimated age for Sphyrfla fliokarran (Carcharhiniformes: Sphyrnidae) in the Mexican Pacific. Hidrobiológica, 24 (2): 163",,Oldest estimated age for Sphyrfla fliokarran (Carcharhiniformes: Sphyrnidae) in the Mexican Pacific,2014
tovaravila2014b,"Tovar-Ávila, J., Garcés-García, K. C. & Zarza-Meza, E. A. (2014b). Estimación del crecimiento del tiburón puntas negras, Carcharhinus limbatus, del Golfo de México con un enfoque estocástico. Ciencia Pesquera. 22 (2): 19-28.",,,2014
trinidadcruz1997,"Trinidad-Cruz, G. (1997) Contribución al conocimiento de la biología y pesquería del cazón hocico negro Carcharhinus acronotus (Poey, 1860) que habita en las aguas de las costas del centro y norte de Veracruz, México. Bachelor thesis. Universidad Veracruzana. Mexico. 65 p.",,"Contribución al conocimiento de la biología y pesquería del cazón hocico negro Carcharhinus acronotus (Poey, 1860) que habita en las aguas de las costas del centro y norte de Veracruz, México",1997
uribemartinez1993,"Uribe-Martínez, J. A. (1993) Distribución, abundancia, estructura y biometría de especies de tiburones capturados en la zona de Campeche, México. Bachelor thesis. Universidad Nacional Autonoma de Mexico. Mexico. 158 p.",,"Distribución, abundancia, estructura y biometría de especies de tiburones capturados en la zona de Campeche, México",1993
utreralopez2015,"Utrera-López, N. (2015) Estimación de la edad y crecimiento de la raya águila Aetobatus narinari (Euphrasen, 1790) en el sur del Golfo de México. Bachelor thesis. Universidad Autonoma de Baja California Sur. Mexico. 66 p.",,"Estimación de la edad y crecimiento de la raya águila Aetobatus narinari (Euphrasen, 1790) en el sur del Golfo de México",2015
villavicenciogarayzar1996b,"VILLAVICENCIO-GARAYZAR, C.J. (1996) Tallas, proporción de sexos y reproducción de Myliobatis californica y M. longirostris (Pisces: Myliobatidae) en Baja California Sur, México. [Size, sex and reproduction of Myliobatis californica and M. longirostris (Pisces: Myliobatidae) in Baja California Sur, Mexico.] Revista de Biología Tropical, 44 (1): 291",,"Tallas, proporción de sexos y reproducción de Myliobatis californica y M. longirostris (Pisces: Myliobatidae) en Baja California Sur, México. [Size, sex and reproduction of Myliobatis californica and M. longirostris (Pisces: Myliobatidae) in Baja California Sur, Mexico.] Revista de Biología Tropical, 44 (1): 291",1996
White2019,"White, W.T., Baje, L., Simpfendorfer, C.A. et al. Elasmobranch bycatch in the demersal prawn trawl fishery in the Gulf of Papua, Papua New Guinea. Sci Rep 9, 9254 (2019).",,,2019
whitty2008,"Whitty JM, Phillips NM, Morgan DL, Chaplin JA, Thorburn DC, Peverell SC (2008) Habitat associations of fresh- water sawfish (Pristis microdon) and northern river sharks (Glyphis sp. C): including genetic analysis of P. microdon across northern Australia. Report to Depart- ment of the Environment, Water, Heritage and the Arts. Centre for Fish and Fisheries Research, Murdoch Uni- versity, Perth",,Habitat associations of fresh- water sawfish (Pristis microdon) and northern river sharks (Glyphis sp,2008
wilson1999a,Freshwater sawfish Pristis microdon. Aus- tralian New Guinea Fishes Association’s A−Z notebook of native freshwater fish. ANGFA Bull 41,,,
yano2007,"YANO, K. & MIYA, M. & AIZAWA, M. & NOICHI, T. (2007) Some aspects of the biology of the goblin shark, Mitsukurina owstoni, collected from the Tokyo Submarine Canyon and adjacent waters, Japa. Ichthyological Research, 54 (4): 388",,"Some aspects of the biology of the goblin shark, Mitsukurina owstoni, collected from the Tokyo Submarine Canyon and adjacent waters, Japa",2007
zaraterustrian2002,"Zárate-Rustrián. (2002). Biología y pesquería del tiburón martillo, Sphyrna lewini (Griffith y Smith, 1834) de las aguas costeras del Golfo de México. Bachelor thesis, Universidad Nacional Autónoma de México. Mexico. 69 pp.",,,2002
zaraterustrian2010,"Zárate-Rustrián, J. (2010) Edad y crecimiento del tiburón martillo Sphyrna lewini (Griffith & Smith, 1834) en la costa sur de Oaxaca, México. Master thesis. Centro Interdisciplinario de Ciencias Marinas. Mexico. 46 p.",,"Edad y crecimiento del tiburón martillo Sphyrna lewini (Griffith & Smith, 1834) en la costa sur de Oaxaca, México",2010
zeadelacruz2007,"Zea-de-la-Cruz, H. (2007) Edad y crecimiento del tiburón aleta de cartón Carcharhinus falciformis (Bibron, 1839) registrado en el Golfo de Tehuantepec. Bachelor thesis. Instituto Tecnológico de Boca del Rio. Mexico. 64 p.",,"Edad y crecimiento del tiburón aleta de cartón Carcharhinus falciformis (Bibron, 1839) registrado en el Golfo de Tehuantepec",2007
zeadelacruz2012,"Zea de la Cruz, H. (2012) Estatus y evolución pesquera del tiburón Rizoprionon terranovae (Richardson, 1836) en la costa central del estado de Veracruz. Master thesis. Universidad Veracruzana. Mexico. 78 p.",,"Estatus y evolución pesquera del tiburón Rizoprionon terranovae (Richardson, 1836) en la costa central del estado de Veracruz",2012
