reference_name,reference_doi,species_superorder,species_name,marine_province,location_name,lat,long,date,sex,trait_class,trait_name,standard_name,method_name,model_name,value,value_type,precision,precision_type,precision_upper,sample_size,dubious,validated,validation_type,notes,contributor_id,depth
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Female,Length,Lmat50,cm TL,Back calculated,Logistic,88,raw_value,,,,160,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Male,Length,Length at first maturity,cm TL,Back calculated,Logistic,67,min,,,,1,FALSE,0,,Observationally determined ,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Female,Length,Length at first maturity,cm TL,Back calculated,Logistic,72,min,,,,1,FALSE,0,,Observationally determined ,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Pooled,Age,Age at first maturity,Year,Back calculated,Directly from growth curves,5,raw_value,,,,,FALSE,1,,Based on length @ maturity estimates from growth curves ,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Female,Reproduction,Uterine fecundity,n,Macroscopic observation,,2,min,,range,17,,FALSE,0,,"Large sample size, only given in diagram ",,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Female,Length,Length at maternity,cm TL,Directly observed,Observational,72,raw_value,,range,136,,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Male,Growth,Linf,Coefficient,Spines,VBFG3 ML,128,raw_value,,,,168,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Male,Growth,k,Coefficient,Spines,VBFG3 ML,0.2,raw_value,,,,168,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeast Black Sea Coast,,,,Pooled,Relationships,a,Coefficient,Derived,Length-Weight,0.004,raw_value,,,,328,FALSE,0,,W = aL^b,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Pooled,Relationships,b,Coefficient,Derived,Length-Weight,2.95,raw_value,,,,328,FALSE,0,,W = aL^b,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Male,Length,Lmax-observed,cm TL,Max observed size,Observational,121,max,,,,1,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Male,Growth,t0,Coefficient,Spines,VBFG3 ML,-0.29,raw_value,,,,168,FALSE,0,,,,<100 
avsar2001,10.1006/ecss.2000.0749,Squalomorphii,Squalus acanthias,Mediterranean Sea,Southeastern Black Sea Coast,,,,Female,Growth,Linf,Coefficient,Spines,VBFG3 ML,145,raw_value,,,,160,FALSE,0,,,,<100 
