"our_journal_name","paper_count","best_scimago_match","best_match_score","best_match_quartile"
"Bulletin de l'Institut National Scientifique et Technique d'Oceanographie et de Peche de Salammbo","6","Bulletin de l'Institut Scientifique, Section Sciences de la Terre","0.6076","Q4"
"Münchner Geowissenschaftliche Abhandlungen Reihe A","6","","0.0",""
"California Cooperative Oceanic Fisheries Investigations Reports","6","California Fish and Game","0.4598","Q3"
"A Magyar Állami Földtani Intézet Évi Jelentése","6","A + U-Architecture and Urbanism","0.2933","Q4"
"Archivum histologicum Japonicum. Nippon soshikigaku kiroku","6","Archivum Franciscanum Historicum","0.4045","Q4"
"Revista da Faculdade de Ciências da Universidade de Lisboa","6","Revista da Faculdade de Direito da Universidade Federal de Minas Gerais","0.7597","Q2"
"Symposium Proceedings International Congress on the Biology of Fish","6","Symposium - Quarterly Journal in Modern Literatures","0.4138","Q4"
"Journal of Coastal Life Medicine","6","Journal of Hospital Medicine","0.8333","Q1"
"Mineralien–Magazin","6","","0.0",""
"Notizario del Gruppo Mineralogico Florentino (Florence","6","","0.0",""
"In: Ancient Fishes and their Living Relatives: a Tribute to John G. Maisey. Alan Pradel","6","In Vitro Cellular and Developmental Biology - Plant","0.3485","Q2"
"Mountain Geologist","6","Mountain Research and Development","0.5098","Q2"
"Oklahoma Geology Notes","6","","0.0",""
"Sarsia","6","","0.0",""
"Ciência e Cultura","6","Ciencia Rural","0.7333","Q3"
"Annals of the South African Museum","6","Annals of the Naprstek Museum","0.7302","Q3"
"Boletín de la Sociedad Zoológica del Uruguay","6","","0.0",""
"Annales de Parasitologie Humaine et Comparee","6","Annales de Cardiologie et d'Angeiologie","0.6341","Q4"
"Archäologie in Rheinland–Pfalz","6","Archaologie der Schweiz","0.6415","Q4"
"Folia Biologica et Geologica","6","Folia Biologica","0.6977","Q3"
"New Mexico Geological Society Guidebook","6","New Mexico Geology","0.6316","Q4"
"Geologisches Jahrbuch","6","","0.0",""
"Kaibogaku zasshi. Acta anatomica Nipponica","6","","0.0",""
"Breviora","6","","0.0",""
"Newsletter Australian Society for Fish Biology","6","","0.0",""
"Commonwealth of Australia","6","Commonwealth Law Bulletin","0.68","Q4"
"Investigaciones Zoológicas Chilenas","6","Investigaciones Regionales","0.7213","Q2"
"Jahresbericht","6","","0.0",""
"F","6","","0.0",""
