species_id,species_name,scientific_name,authorship,iucn_code,superorder,order,family,genus
424,,,Garrick & Paul 1974 ,,,,,
425,,,Last et al 2016,,,,,
426,,,Last et al 2016,,,,,
427,,,Chu 1960 ,,,,,
428,,,Mitchill 1818 ,,,,,
429,,,Wallace 1967 ,,,,,
430,,,Krefft & Stehmann 1975 ,,,,,
431,,,Last et al 2016,,,,,
432,,,"Last, White & Pogonoski 2008 ",,,,,
433,,,Gomes & Paragó 2001 ,,,,,
434,,,Storm 1881 ,,,,,
435,,,Last 2008 ,,,,,
436,,,Bigelow & Schroeder 1951 ,,,,,
437,,,Bigelow & Schroeder 1958 ,,,,,
438,,,Linnaeus 1758 ,,,,,
439,,,Ogilby 1910 ,,,,,
440,,,Last et al 2016,,,,,
441,,,"Last, White & Pogonoski 2008 ",,,,,
442,,,Wallace 1967 ,,,,,
443,,,Wallace 1967 ,,,,,
444,,,Bigelow & Schroeder 1951 ,,,,,
445,,,Jordan & Fowler 1903 ,,,,,
446,,,Krefft & Stehmann 1975 ,,,,,
447,,,Séret & Last 2008 ,,,,,
448,,,Jeong & Nakabo 2008 ,,,,,
449,,,Last et al 2016,,,,,
450,,,Last et al 2016,,,,,
451,,,Last et al 2016,,,,,
452,,,Last et al 2016,,,,,
453,,,Last et al 2016,,,,,
454,,,Last et al 2016,,,,,
455,,,Last et al 2016,,,,,
456,,,Last et al 2016,,,,,
457,,,Last et al 2016,,,,,
458,,,Last et al 2016,,,,,
459,,,Last et al 2016,,,,,
460,,,Jeong & Nakabo 1997 ,,,,,
461,,,Last et al 2016,,,,,
462,,,Couch 1838 ,,,,,
463,,,Stehmann 1995 ,,,,,
464,,,Mitchill 1825 ,,,,,
465,,,Linnaeus 1758 ,,,,,
466,,,Whitley 1939 ,,,,,
467,,,Bigelow & Schroeder 1951 ,,,,,
468,,,Stehmann 1971 ,,,,,
469,,,Clark 1926 ,,,,,
470,,,Müller & Henle 1841 ,,,,,
471,,,Mitchill 1815 ,,,,,
472,,,"Last, Stehmann & Séret 2008 ",,,,,
473,,,Last et al 2016,,,,,
474,,,Hulley 1970 ,,,,,
475,,,Bigelow & Schroeder 1950 ,,,,,
476,,,Stehmann 1978 ,,,,,
477,,,"Carvalho, Gomes & Gadig 2005 ",,,,,
478,,,Garman 1885 ,,,,,
479,,,Barnard 1923 ,,,,,
480,,,Stehmann & Séret 1983 ,,,,,
