doi,year,authors,title,journal,has_pdf,file_path
10.1016/j.dsr.2021.103584,2021,"Lennon, Eleanor and Philips, Natasha D. and Garbett, Amy and Carlsson, Jens and Carlsson, Jeanette E. L. and Crowley, Danielle and Judge, Maria and Yeo, Isobel and Collins, Patrick C.","Going deeper, darker and further: {Observations} charting an egg nursery, a range and depth extension for the deep-sea spiny tailed skate \textit{{Bathyraja} spinicauda,} first records from the {Mid} {Atlantic} {Ridge}",Deep Sea Research Part I: Oceanographic Research Papers,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\N5H78HIT\\S0967063721001230.html:text/html
10.1016/j.fishres.2017.04.001,2017,"Marongiu, Martina F. and Porcu, Cristina and Bellodi, Andrea and Cannas, Rita and Cau, Alessandro and Cuccu, Danila and Mulas, Antonello and Follesa, Maria C.",Temporal dynamics of demersal chondrichthyan species in the central western {Mediterranean} {Sea}: {The} case study in {Sardinia} {Island},Fisheries Research,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\G78KACDE\\S0165783617300929.html:text/html
10.1016/j.fishres.2022.106406,2022,"Knotek, R. J. and Frazier, B. S. and Daly-Engel, T. S. and White, C. F. and Barry, S. N. and Cave, E. J. and Whitney, N. M.","Post-release mortality, recovery, and stress physiology of blacknose sharks, \textit{{Carcharhinus} acronotus}, in the {Southeast} {U}.{S}. recreational shark fishery",Fisheries Research,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\25EQDTZT\\S0165783622001837.html:text/html
10.1016/j.fishres.2025.107328,2025,"Koehler, Lydia","Elasmobranch research in the {Mediterranean} {Sea}: {What} is known, what is not, how it changed, and where it needs to go",Fisheries Research,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\UCBIRGPZ\\S0165783625000657.html:text/html
10.1016/j.jenvman.2025.126722,2025,"Pytka, J. M. and Bressan, G. and Antonini, C. and Barausse, A. and Barbato, M. and Dara, M. and De Santis, L. J. and Finotto, L. and Garibaldi, F. and Geraci, M. L. and Giacalone, V. M. and Gristina, M. and Lanteri, L. and Roppo Valente, G. and Serena, F. and Vitale, S. and Zampieri, C. and Raicevich, S. and Mazzoldi, C.",Survival rates of commercial elasmobranch species: exploring post-capture release at early life stages as a fishery management measure,Journal of Environmental Management,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\F754ELJN\\S0301479725026982.html:text/html
10.1016/j.marenvres.2024.106531,2024,"Coulon, Noémie and Pilet, Stanislas and Lizé, Anne and Lacoue-Labarthe, Thomas and Sturbois, Anthony and Toussaint, Aurèle and Feunteun, Eric and Carpentier, Alexandre",Shark critical life stage vulnerability to monthly temperature variations under climate change,Marine Environmental Research,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\6QSHL2JA\\S0141113624001922.html:text/html
10.1016/j.marpol.2024.106121,2024,"Leurs, Guido and Walsh, Matthew Bjerregaard and Haque, Alifa Bintha and Collins, Claire and Glaus, Kerstin and Kizhakudan, Shoba Joe and Menon, Muktha and Muttaqin, Efin and Simeon, Benaya and Tovar-Ávila, Javier and Govers, Laura L. and Walker, Paddy A. and Friedman, Kim J.",Opportunities and challenges in value chain analysis for sustainable management of sharks and rays,Marine Policy,No,
10.1016/j.marpolbul.2023.114941,2023,"Valderrama-Herrera, Miguel and Cardenas, Sara Amada and Calvo-Mac, Carlos and Celi-Vértiz, Renzo Gustavo and Chumpitaz-Levano, Valeria Liz and Flores-Miranda, Walter Eduardo and Lopez-Tirado, Zoila M. T. and Molina-Alvarez, Mariana and Rubio-Cheon, Diana N. and Trucios-Castro, Maryalejandra and Fernández Severini, Melisa D. and Forero López, Ana D. and Ramos, Williams and Pretell, Victor and Castro, Italo B. and Ribeiro, Victor Vasques and Dobaradaran, Sina and Espinoza-Morriberón, Dante and Ben-Haddad, Mohamed and Dioses-Salinas, Diana Carolina and De-la-Torre, Gabriel Enrique",Rajids ovipositing on marine litter: {A} potential threat to their survival,Marine Pollution Bulletin,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\49DP8TY4\\S0025326X23003727.html:text/html
10.1016/j.marpolbul.2023.115942,2024,"Carrasco-Puig, Pol and Colmenero, Ana I. and Ruiz-García, David and Molera-Arribas, Alejandro J. and Hernández-Martínez, Ana M. and Raga, Juan A. and Barría, Claudio","Heavy metal concentrations in sharks, rays and chimaeras from the western {Mediterranean} {Sea}",Marine Pollution Bulletin,Yes,"ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\NFQEK4I5\\S0025326X23013772.html:text/html;Versión enviada:C\:\\Users\\david\\Zotero\\storage\\DUTF4BM7\\Carrasco-Puig et al. - 2024 - Heavy metal concentrations in sharks, rays and chi.pdf:application/pdf"
10.1016/j.ocecoaman.2021.105743,2021,"Giovos, I. and Aga Spyridopoulou, R. N. and Doumpas, N. and Glaus, K. and Kleitou, P. and Kazlari, Z. and Katsada, D. and Loukovitis, D. and Mantzouni, I. and Papapetrou, M. and Papastamatiou, Y. P. and Moutopoulos, D. K.",Approaching the “real” state of elasmobranch fisheries and trade: {A} case study from the {Mediterranean},Ocean \& Coastal Management,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\BWEAGRST\\S096456912100226X.html:text/html
10.1016/j.scitotenv.2024.176361,2024,"Santos, Catarina Pereira and Rosa, Rui and Frazão-Santos, Catarina",Global risk assessment of sharks to climate change,Science of The Total Environment,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\9ZHTLLZ9\\S0048969724065173.html:text/html
10.1016/j.scitotenv.2024.176998,2024,"Figuerola, Blanca and Ruiz-García, David and Subías-Baratau, Arnau and Maceda-Veiga, Alberto and Sanchez-Vidal, Anna and Barría, Claudio",Adapting to a pollution hotspot? {Catsharks} shift to plastic substrates for oviposition,Science of The Total Environment,Yes,ScienceDirect Snapshot:C\:\\Users\\david\\Zotero\\storage\\X28EHXKG\\S0048969724071559.html:text/html
10.1017/s0030605312001718,2013,"Cisneros-Montemayor, Andrés M. and Barnes-Mauthe, Michele and Al-Abdulrazzak, Dalal and Navarro-Holm, Estrella and Sumaila, U. Rashid",Global economic value of shark ecotourism: implications for conservation,Oryx,Yes,Full Text PDF:C\:\\Users\\david\\Zotero\\storage\\M2C2QX3F\\Cisneros-Montemayor et al. - 2013 - Global economic value of shark ecotourism implica.pdf:application/pdf
10.1073/pnas.2216891120,2023,"Pacoureau, Nathan and Carlson, John K. and Kindsvater, Holly K. and Rigby, Cassandra L. and Winker, Henning and Simpfendorfer, Colin A. and Charvet, Patricia and Pollom, Riley A. and Barreto, Rodrigo and Sherman, C. Samantha and Talwar, Brendan S. and Skerritt, Daniel J. and Sumaila, U. Rashid and Matsushiba, Jay H. and VanderWright, Wade J. and Yan, Helen F. and Dulvy, Nicholas K.",Conservation successes and challenges for wide-ranging sharks and rays,Proceedings of the National Academy of Sciences,Yes,Full Text PDF:C\:\\Users\\david\\Zotero\\storage\\P93EV6UY\\Pacoureau et al. - 2023 - Conservation successes and challenges for wide-ran.pdf:application/pdf
