openalex_author_id,display_name,institution,country,papers,gender,origin_country,origin_region,ethnicity,inst_city,inst_region,inst_lat,inst_lon
A5087243061,Valentina Di Santo,Scripps Institution of Oceanography,US,14,F,IT,Europe,Indonesian,La Jolla,California,32.84727,-117.2742
A5088968386,Wayne M. Itano,University of Colorado Boulder,US,14,M,KE,Africa,Japanese,Boulder,NA,40.01499176025391,-105.2705535888672
A5091823728,Anthony P. Farrell,University of British Columbia,CA,14,M,IE,Europe,Irish,Vancouver,British Columbia,49.24966,-123.11934
A5086942147,Jason Holmberg,Wild Salmon Center,US,14,M,SE,Europe,Swedish,Portland,Oregon,45.52836227416992,-122.6806411743164
A5001650425,Shaili Johri,Hopkins Marine Station (Stanford),US,13,F,IN,Asia,Indian,Pacific Grove,California,36.6219,-121.9042
A5090801242,Riley A. Pollom,Simon Fraser University,CA,13,M,IE,Europe,British,Burnaby,British Columbia,49.26636,-122.95263
A5022454110,Raúl O. Martínez‐Rincón,Instituto Politécnico Nacional,MX,13,M,ES,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5006832801,James M. Anderson,"California State University, Long Beach",US,13,M,GB,Europe,Scottish,Long Beach,NA,33.76696014404297,-118.1892318725586
A5070586795,Robert J. Schallert,Pacific University,US,13,M,AT,Europe,German,Forest Grove,NA,45.51984024047852,-123.11065673828124
A5060807542,Jason R. Treberg,University of Manitoba,CA,13,M,CH,Europe,German,Winnipeg,Manitoba,49.8844,-97.14704
A5065510435,Edward J. Heist,Southern Illinois University Carbondale,US,13,M,IE,Europe,German,Carbondale,NA,37.72726821899414,-89.21675109863281
A5023497219,Cindy A. Tribuzio,NOAA National Marine Fisheries Service Alaska Fisheries Science Center,US,13,F,IT,Europe,Italian,Seattle,NA,47.60620880126953,-122.33206939697266
A5019441522,Peter G. Bushnell,Indiana University South Bend,US,13,M,IE,Europe,British,South Bend,Indiana,41.66650772094727,-86.22174835205078
A5050977143,Alyssa M. Weinrauch,University of Manitoba,CA,12,F,AT,Europe,Austrian,Winnipeg,Manitoba,49.8844,-97.14704
A5070801097,Jon López,Inter-American Tropical Tuna Commission,US,12,M,ES,Europe,Hispanic,La Jolla,California,32.84727,-117.2742
A5109876386,R. Leonard,The University of Texas Medical Branch at Galveston,US,12,M,GB,Europe,French,Galveston,Texas,29.30135,-94.7977
A5016225646,Marcos D. Calle‐Morán,Universidad Autónoma de Sinaloa,MX,12,M,ES,Europe,Hispanic,Culiacán,Sinaloa,24.80209,-107.39421
A5073592308,Paul E. Kanive,Montana State University,US,12,M,ZM,Africa,Norwegian,Bozeman,Montana,45.67965,-111.03856
A5024021025,Kelsey C. James,NOAA National Marine Fisheries Service Southwest Fisheries Science Center,US,12,F,GB,Europe,British,La Jolla,NA,32.84727096557617,-117.27420043945312
A5086315389,Alison M. Murray,University of Alberta,CA,12,F,IE,Europe,Irish,Edmonton,Alberta,53.55014,-113.46871
A5076831759,Sandra Bessudo,Bay Institute,US,12,F,PT,Europe,French,San Francisco,California,37.80623626708984,-122.41191864013672
A5083643690,Tom Kashiwagi,Southern Illinois University Carbondale,US,12,M,JP,Asia,Japanese,Carbondale,NA,37.72726821899414,-89.21675109863281
A5005902578,Luis Fernando Del Moral-Flores,Universidad Nacional Autónoma de México,MX,12,M,PT,Europe,Hispanic,Mexico City,Mexico City,19.42847,-99.12766
A5076431972,María del Pilar Blanco‐Parra,University of Quintana Roo,MX,12,F,ES,Europe,Hispanic,Chetumal,NA,18.514129638671875,-88.3038101196289
A5049695139,Joshua K. Moyer,Earth Island Institute,US,12,M,IE,Europe,Austrian,Berkeley,California,37.8695182800293,-122.26605987548828
A5112531170,Mark Fisher,Texas Parks and Wildlife Department,US,13,M,GB,Europe,British,Austin,Texas,30.270702362060547,-97.739715576171875
A5109295339,Lawrence M. Dill,Simon Fraser University,CA,13,M,IE,Europe,Irish,Burnaby,British Columbia,49.26636,-122.95263
A5090892962,Erick C. Oñate‐González,Universidad Autónoma de Nuevo León,MX,11,M,ES,Europe,Hispanic,San Nicolás de los Garza,NA,25.741670608520508,-100.3022232055664
