from,to,weight
A5000275661,A5053379413,1
A5000275661,A5053594384,1
A5000275661,A5053611400,1
A5000275661,A5053634231,1
A5000275661,A5053962612,1
A5000275661,A5054602736,1
A5000275661,A5057259909,2
A5000275661,A5057388257,1
A5000275661,A5060958973,1
A5000275661,A5061328467,1
A5000275661,A5061982227,2
A5000275661,A5062667343,1
A5000275661,A5062775440,1
A5000275661,A5062897472,1
A5000275661,A5063743061,1
A5000275661,A5065288345,1
A5000275661,A5067846686,3
A5000275661,A5068248490,2
A5000275661,A5069148631,4
A5000275661,A5070191034,1
A5000275661,A5071649909,1
A5000275661,A5071652330,6
A5000275661,A5072858734,1
A5000275661,A5072875451,1
A5000275661,A5073123254,1
A5000275661,A5073592308,1
A5000275661,A5074413866,1
A5000275661,A5077868024,1
A5000275661,A5078318699,4
A5000275661,A5078455702,1
A5000275661,A5078993478,1
A5000275661,A5079962949,2
A5000275661,A5080921997,1
A5000275661,A5081302464,1
A5000275661,A5081408180,1
A5000275661,A5082014181,1
A5000275661,A5082317939,1
A5000275661,A5082890259,1
A5000275661,A5083207475,1
A5000275661,A5083624621,1
A5000275661,A5085674774,1
A5000275661,A5085955618,1
A5000275661,A5087360525,1
A5000275661,A5087370269,1
A5000275661,A5087717135,1
A5000275661,A5089067181,1
A5000275661,A5089613757,1
A5000275661,A5089793622,1
A5000275661,A5090035763,1
A5000275661,A5090428075,1
A5000275661,A5090970334,1
A5000275661,A5090976184,2
A5000275661,A5091018283,1
A5000275661,A5091351942,1
A5000275661,A5091980119,1
A5000275661,A5102773610,1
A5000275661,A5103874950,1
A5000275661,A5104360423,1
A5000275661,A5108398818,1
A5000275661,A5109508115,20
A5000275661,A5111404410,1
A5000275661,A5111959191,4
A5000275661,A5112460277,1
A5000275661,A5113719320,1
A5000276744,A5028871549,2
A5000276744,A5040301389,1
A5000276744,A5063502532,2
A5000276744,A5074400045,3
A5000282798,A5001492899,1
A5000282798,A5002022556,1
A5000282798,A5002558841,1
A5000282798,A5003477041,2
A5000282798,A5003585482,2
A5000282798,A5004079611,1
A5000282798,A5004789455,2
A5000282798,A5005752874,1
A5000282798,A5006472383,1
A5000282798,A5008981085,1
A5000282798,A5010505034,1
A5000282798,A5011629984,1
A5000282798,A5011699441,1
A5000282798,A5012003756,1
A5000282798,A5012374355,1
A5000282798,A5014030538,1
A5000282798,A5014389821,2
A5000282798,A5016236970,1
A5000282798,A5018316874,1
A5000282798,A5018701973,1
A5000282798,A5019748725,2
A5000282798,A5020220083,1
A5000282798,A5021787035,1
A5000282798,A5025535605,1
A5000282798,A5027041056,1
A5000282798,A5029873576,2
A5000282798,A5030500452,4
A5000282798,A5030584469,1
A5000282798,A5031516825,1
A5000282798,A5034910630,2
A5000282798,A5038873010,1
A5000282798,A5038897929,1
A5000282798,A5040443326,1
A5000282798,A5042095784,1
A5000282798,A5043777031,2
A5000282798,A5043854862,1
A5000282798,A5044538537,1
A5000282798,A5044554912,1
A5000282798,A5045335131,1
A5000282798,A5047465035,1
A5000282798,A5051248935,1
A5000282798,A5052896901,1
A5000282798,A5053555827,1
A5000282798,A5055843584,1
A5000282798,A5056604056,4
A5000282798,A5058867480,1
A5000282798,A5059851466,2
A5000282798,A5063020735,1
A5000282798,A5065257057,1
A5000282798,A5065732839,1
A5000282798,A5069148631,1
A5000282798,A5071649909,1
A5000282798,A5073123254,1
A5000282798,A5073198912,1
A5000282798,A5073348227,1
A5000282798,A5074180684,1
A5000282798,A5081302464,1
A5000282798,A5081719588,1
A5000282798,A5084700095,1
A5000282798,A5086753224,2
A5000282798,A5088827087,1
A5000282798,A5089067181,3
A5000282798,A5090035763,1
A5000282798,A5090751584,1
A5000282798,A5090970334,1
A5000282798,A5112537861,1
A5000344719,A5004336799,1
A5000344719,A5005875977,2
A5000344719,A5011629984,1
A5000344719,A5018705599,1
A5000344719,A5019346737,2
A5000344719,A5021861796,1
